貨品,出口金額,出口比重,進口金額,進口比重
電機與設備及其零件；錄音機及聲音重放機；電視影像、聲音記錄機及重放機；以及上述各物之零件及附件 ,307.2,47.5983886,103.1,39.1568553
光學、照相、電影、計量、檢查、精密、內科或外科儀器及器具，上述物品之零件及附件 ,81.2,12.5813449,34.7,13.1788834
塑膠及其製品 ,49.1,7.607685156,13.2,5.013292822
核子反應器、鍋爐、機器及機械用具；及其零件 ,47.8,7.406259684,11.1,4.215723509
有機化學產品 ,34,5.268050821,9.9,3.759969616
礦物燃料、礦油及其蒸餾產品；含瀝青物質；礦蠟 ,12.9,1.998760459,7.4,2.81048234
銅及其製品 ,11.3,1.750852185,6.8,2.582605393
天然珍珠或養珠、寶石或次寶石、貴金屬、被覆貴金屬之金屬及其製品；仿首飾；鑄幣 ,9.2,1.425472575,6.4,2.430687429
鋼鐵 ,8.3,1.286024171,6.2,2.354728447
雜項化學產品 ,6.4,0.991633096,4.8,1.823015572
其他,78,12.08552835,59.6,22.63577668
總額,645.4,100,263.3,100
