貨品,出口金額,出口比重,進口金額,進口比重
電機與設備及其零件；錄音機及聲音重放機；電視影像、聲音記錄機及重放機；以及上述各物之零件及附件 ,50.8,32.41863433,30.6,19.51530612
核子反應器、鍋爐、機器及機械用具；及其零件 ,28.7,18.31525207,19.7,12.56377551
鐵道及電車道車輛以外之車輛及其零件與附件 ,18.4,11.74218251,18.4,11.73469388
鋼鐵製品 ,11.6,7.402680281,10.5,6.696428571
塑膠及其製品 ,7.6,4.850031908,9.3,5.931122449
光學、照相、電影、計量、檢查、精密、內科或外科儀器及器具，上述物品之零件及附件 ,5.3,3.382259094,9.1,5.803571429
卑金屬製工具、器具、利器、匙、叉及其零件 ,4.9,3.126994257,6.1,3.890306122
鋼鐵 ,3.2,2.042118698,4.9,3.125
玩具、遊戲品與運動用品；及其零件與附件 ,2.7,1.723037652,4.6,2.933673469
家具；寢具、褥、褥支持物，軟墊及類似充填家具；未列名之燈具及照明配件；照明標誌，照明名牌及類似品；組合式建築物 ,2,1.276324186,3.8,2.423469388
其他,21.2,13.52903638,39.7,25.31887755
出口總額,156.7,100,156.8,100
