貨品,出口金額,出口比重,進口金額,進口比重
電機與設備及其零件；錄音機及聲音重放機；電視影像、聲音記錄機及重放機；以及上述各物之零件及附件 ,60.5,46.82662539,57.7,22.15821813
核子反應器、鍋爐、機器及機械用具；及其零件 ,11.4,8.823529412,48.8,18.74039939
塑膠及其製品 ,7.9,6.114551084,16.9,6.490015361
光學、照相、電影、計量、檢查、精密、內科或外科儀器及器具，上述物品之零件及附件 ,5.3,4.102167183,16.6,6.374807988
雜項化學產品 ,4.2,3.250773994,16.2,6.221198157
鋼鐵 ,3.9,3.018575851,15.9,6.105990783
鐵道及電車道車輛以外之車輛及其零件與附件 ,3.7,2.86377709,12.8,4.915514593
鋼鐵製品 ,3.5,2.708978328,9.7,3.725038402
魚類、甲殼類、軟體類及其他水產無脊椎動物 ,3,2.321981424,8.7,3.341013825
家具；寢具、褥、褥支持物，軟墊及類似充填家具；未列名之燈具及照明配件；照明標誌，照明名牌及類似品；組合式建築物 ,2,1.547987616,8.3,3.187403994
其他,23.6,18.26625387,49.1,18.85560676
總額,129.2,100,260.4,100
