貨品,出口金額,出口比重,進口金額,進口比重
電機與設備及其零件；錄音機及聲音重放機；電視影像、聲音記錄機及重放機；以及上述各物之零件及附件 ,67.3,29.0336497,35.5,19.63495575
核子反應器、鍋爐、機器及機械用具；及其零件 ,39.7,17.12683348,27.3,15.09955752
鐵道及電車道車輛以外之車輛及其零件與附件 ,18.8,8.110440035,16.6,9.181415929
鋼鐵製品 ,17.7,7.635893011,14.5,8.019911504
塑膠及其製品 ,12.7,5.478861087,12.9,7.134955752
光學、照相、電影、計量、檢查、精密、內科或外科儀器及器具，上述物品之零件及附件 ,10.9,4.702329594,6.8,3.761061947
鋼鐵 ,7.5,3.235547886,6.1,3.373893805
家具；寢具、褥、褥支持物，軟墊及類似充填家具；未列名之燈具及照明配件；照明標誌，照明名牌及類似品；組合式建築物 ,6,2.588438309,5.7,3.152654867
玩具、遊戲品與運動用品；及其零件與附件 ,5.1,2.200172563,5.3,2.931415929
卑金屬製工具、器具、利器、匙、叉及其零件 ,5.1,2.200172563,4.6,2.544247788
其他,41.1,17.73080242,45.5,25.1659292
總額,231.8,100,180.8,100
