我國對東協(10國)主要出口貨品類別 (2015年7月),,,,,,,
單位：億美元；%,,,,,,,
HS,貨品,2015年7月,,2014年7月,,增減比較,
二位碼,,金額,比重,金額,比重,增減金額,成長率(%)
,出口總額,41.8,100.0,51.2,100.0,-9.4,-18.4
85,電機與設備及其零件；錄音機及聲音重放機；電視影像、聲音記錄機及重放機；以及上述各物之零件及附件 ,19.2,45.8,20.4,39.7,-1.2,-5.9
27,礦物燃料、礦油及其蒸餾產品；含瀝青物質；礦蠟 ,4.4,10.5,10.7,20.9,-6.3,-58.9
84,核子反應器、鍋爐、機器及機械用具；及其零件 ,3.4,8.2,3.6,7.0,-0.1,-4.2
39,塑膠及其製品 ,1.9,4.6,2.4,4.6,-0.5,-19.1
72,鋼鐵 ,1.9,4.5,2.1,4.2,-0.3,-13.2
60,針織品或鉤針織品 ,1.2,2.8,1.1,2.1,0.1,10.5
29,有機化學產品 ,1.0,2.3,1.3,2.5,-0.3,-25.5
38,雜項化學產品 ,0.8,1.8,0.7,1.4,0.1,10.6
90,光學、照相、電影、計量、檢查、精密、內科或外科儀器及器具，上述物品之零件及附件 ,0.7,1.7,0.6,1.1,0.2,29.1
54,人造纖維絲；人造紡織材料之扁條及類似品 ,0.6,1.5,0.7,1.3,-0.1,-8.0
,其他,6.8,16.3,7.8,15.2,-1.0,-12.8
,進口總額,24.7,100.0,31.9,100.0,-7.2,-22.7
85,電機與設備及其零件；錄音機及聲音重放機；電視影像、聲音記錄機及重放機；以及上述各物之零件及附件 ,7.0,28.5,8.5,26.6,-1.4,-17.1
27,礦物燃料、礦油及其蒸餾產品；含瀝青物質；礦蠟 ,5.8,23.5,9.2,28.7,-3.4,-36.7
84,核子反應器、鍋爐、機器及機械用具；及其零件 ,3.4,13.9,3.2,10.1,0.2,6.9
90,光學、照相、電影、計量、檢查、精密、內科或外科儀器及器具，上述物品之零件及附件 ,0.6,2.5,1.1,3.5,-0.5,-44.1
71,天然珍珠或養珠、寶石或次寶石、貴金屬、被覆貴金屬之金屬及其製品；仿首飾；鑄幣 ,0.5,2.1,0.8,2.5,-0.3,-34.5
29,有機化學產品 ,0.5,2.1,1.1,3.5,-0.6,-54.5
44,木及木製品；木炭 ,0.5,2.0,0.6,1.9,-0.1,-21.2
39,塑膠及其製品 ,0.5,1.9,0.7,2.3,-0.3,-34.6
38,雜項化學產品 ,0.4,1.7,0.6,1.8,-0.1,-24.8
40,橡膠及其製品 ,0.4,1.4,0.4,1.2,0.0,-10.9
,其他,5.0,20.4,5.7,17.9,-0.7,-12.5
1.???? 資料來源：中華民國財政部進出口貿易磁帶，本研究彙整。(更新時間：2015年8月16日),,,,,,,
2.???? 本表數據出口統計含復出口、進口統計含復進口。,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
