我國對歐盟(28國)主要出口貨品類別 (2015年7月),,,,,,,
單位：億美元；%,,,,,,,
HS,貨品,2015年7月,,2014年7月,,增減比較,
二位碼,,金額,比重,金額,比重,增減金額,成長率(%)
,出口總額,20.0,100.0,23.6,100.0,-3.6,-15.2
85,電機與設備及其零件；錄音機及聲音重放機；電視影像、聲音記錄機及重放機；以及上述各物之零件及附件 ,6.5,32.7,6.4,27.1,0.1,2.3
84,核子反應器、鍋爐、機器及機械用具；及其零件 ,3.4,17.0,4.0,16.9,-0.6,-14.9
87,鐵道及電車道車輛以外之車輛及其零件與附件 ,2.3,11.5,2.5,10.5,-0.2,-6.5
73,鋼鐵製品 ,1.5,7.5,1.8,7.5,-0.3,-14.6
39,塑膠及其製品 ,1.0,5.0,1.0,4.3,0.0,-1.2
90,光學、照相、電影、計量、檢查、精密、內科或外科儀器及器具，上述物品之零件及附件 ,0.7,3.7,0.8,3.3,-0.1,-6.6
82,卑金屬製工具、器具、利器、匙、叉及其零件 ,0.6,3.0,0.8,3.3,-0.2,-22.2
72,鋼鐵 ,0.5,2.7,1.0,4.3,-0.5,-46.0
95,玩具、遊戲品與運動用品；及其零件與附件 ,0.3,1.7,0.4,1.8,-0.1,-20.5
29,有機化學產品 ,0.2,1.2,0.3,1.5,-0.1,-30.7
,其他,2.8,14.0,4.6,19.5,-1.8,-39.7
,進口總額,20.9,100.0,21.9,100.0,-1.0,-4.7
84,核子反應器、鍋爐、機器及機械用具；及其零件 ,4.2,20.0,2.9,13.1,1.3,45.4
85,電機與設備及其零件；錄音機及聲音重放機；電視影像、聲音記錄機及重放機；以及上述各物之零件及附件 ,2.7,12.9,2.6,12.0,0.1,2.7
87,鐵道及電車道車輛以外之車輛及其零件與附件 ,2.3,11.0,2.3,10.6,0.0,-0.6
30,醫藥品 ,1.4,6.5,1.5,7.0,-0.2,-12.0
88,航空器、太空船及其零件 ,1.3,6.4,1.3,5.8,0.1,5.3
90,光學、照相、電影、計量、檢查、精密、內科或外科儀器及器具，上述物品之零件及附件 ,1.3,6.4,1.4,6.5,-0.1,-6.5
29,有機化學產品 ,1.1,5.1,1.2,5.6,-0.2,-13.4
38,雜項化學產品 ,0.7,3.3,0.7,3.1,0.0,0.8
22,飲料、酒類及醋 ,0.6,2.9,0.7,3.2,-0.1,-14.3
39,塑膠及其製品 ,0.4,2.0,0.4,2.0,0.0,-8.8
,其他,4.9,23.5,6.8,31.1,-1.9,-27.8
1.???? 資料來源：中華民國財政部進出口貿易磁帶，本研究彙整。(更新時間：2015年8月16日),,,,,,,
2.???? 本表數據出口統計含復出口、進口統計含復進口。,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
