年(月)別,金額,總額比重,總額年增率(%),出口金額,出口比重,出口年增率(%),進口金額,進口比重,進口年增率(%),出(入)超金額,出超年增率(%)
2011年,621.2,10.5,9.3,363.6,11.8,15.6,257.6,9.2,1.5,106.1,74.2
2012年,565.8,9.9,-8.9,329.8,10.9,-9.3,236,8.7,-8.4,93.7,-11.6
2013年,577.7,10,2.1,325.6,10.7,-1.2,252,9.3,6.8,73.6,-21.4
2014年,622.9,10.6,7.8,348.7,11.1,7.1,274.2,10,8.8,74.4,1.1
1月,49,10.7,1,26.6,10.9,4.5,22.4,10.5,-2.9,4.2,76.8
2月,39.8,9.7,-7.5,21.5,10.1,4.7,18.2,9.2,-18.8,3.3,-277.8
3月,54.9,10.3,12.4,29.5,10.6,10.3,25.4,9.9,15,4.1,-12.3
4月,57.4,11.3,16.7,30.3,11.4,6.7,27.1,11.3,30.3,3.2,-57.9
5月,53.5,11.1,0.8,30.1,11.3,1,23.4,10.9,0.5,6.7,2.7
6月,53.8,10.4,12.1,30.7,11.4,11.8,23.1,9.3,12.4,7.6,10.2
7月,51.7,10.2,9.3,29.3,11,2.4,22.4,9.3,20,6.9,-30.6
8月,50.5,9.7,8.1,30.2,10.7,4.8,20.3,8.5,13.4,9.8,-9.4
9月,48.9,9.9,8.1,28.9,10.9,8.8,20,8.7,7,8.9,12.9
10月,57.3,11.7,10,30.6,11.4,4.4,26.7,12,17.2,4,-39.6
11月,51.2,10.4,9.6,30.2,11.3,11.4,21,9.4,7.3,9.2,21.9
12月,54.9,11.7,12.1,30.8,12,14.6,24.2,11.4,9.1,6.6,40.6
2015年1-7月,355.8,11.8,-1.2,202.2,12.2,2.1,153.6,11.2,-5.2,48.6,35
1月,51.5,11.3,5.2,28.7,11.5,8.1,22.8,11.2,1.7,6,42.5
2月,41.2,11.7,3.7,24.8,12.5,15.1,16.4,10.7,-9.8,8.3,151.3
3月,49.8,10.7,-9.4,29.5,11.7,0,20.3,9.6,-20.4,9.3,127.7
4月,50.6,12,-11.9,30.7,13.1,1.2,19.9,10.6,-26.6,10.8,237.8
5月,55,12,2.8,30.7,12,2,24.3,12,3.9,6.4,-4.4
6月,50.9,11.6,-5.4,28.2,12.2,-8.2,22.7,10.9,-1.6,5.4,-28.4
7月,56.8,13.1,9.9,29.6,12.6,1,27.2,13.7,21.5,2.4,-65.6
